# Decadal averaged CFA, water isotope and layerthickness data for NGRIP
# 
# Columns:
# Age_BP : Age of the middle of the sampling interval in years BP on the GICC05 age scale for NGRIP (see reference)
# Na : Concentration of Na+ ions in (ng/g), measured by continuous flow analysis
# Ca : Concentration of Ca++ ions in (ng/g), measured by continuous flow analysis
# lt : Annual layerthickness in (m) as calculated from the age model (see reference)
# d18O : Water isotopic composition in permille relative to VSMOW (see references)
#
# For age model see:
# Svensson, Anders, K K Andersen, Matthias Bigler, H B Clausen, Dorthe Dahl-Jensen, S M Davies, Sigfus J Johnsen, et al. 2008. “A 60 000 Year Greenland Stratigraphic Ice Core Chronology.” Climate of the Past 4 (1): 47–57. doi:10.5194/cp-4-47-2008.
# 
# For water isotope data see:
# NGRIP members. 2004. “High-Resolution Record of Northern Hemisphere Climate Extending into the Last Interglacial Period.” Nature 431 (7005): 147–51. doi:10.1038/nature02805.
# Gkinis, V, S B Simonsen, S L Buchardt, James W C White, and Bo M Vinther. 2014. “Water Isotope Diffusion Rates from the NorthGRIP Ice Core for the Last 16,000 Years - Glaciological and Paleoclimatic Implications.” Earth and Planetary Science Letters 405 (C). 132–41. doi:10.1016/j.epsl.2014.08.022.
#

Age_BP,Na,Ca,lt,d18O
12825.00000,39.08557,52.53619,0.03520,-39.85857
12835.00000,20.37345,46.72383,0.03340,-39.64429
12845.00000,36.05317,36.19398,0.03940,-40.59375
12855.00000,34.90934,33.56567,0.03900,-39.45375
12865.00000,38.44001,55.53034,0.03590,-38.97714
12875.00000,29.91953,32.96484,0.04070,-38.16625
12885.00000,22.06065,41.35280,0.04080,-37.41625
12895.00000,30.13373,37.29927,0.04080,-38.18375
12905.00000,25.80092,49.16370,0.03390,-38.61857
12915.00000,33.96203,41.14467,0.03940,-39.10750
12925.00000,30.25004,32.62478,0.03880,-39.05250
12935.00000,28.13429,20.90401,0.04440,-39.31111
12945.00000,25.50807,38.12886,0.05200,-38.62300
12955.00000,34.02601,31.00179,0.03730,-39.99500
12965.00000,26.69056,38.25776,0.04000,-39.63500
12975.00000,22.68907,62.32886,0.03610,-39.79143
12985.00000,23.34189,46.37555,0.04010,-39.38375
12995.00000,30.10306,54.07543,0.04140,-39.78000
13005.00000,36.21591,45.68030,0.04430,-39.39667
13015.00000,34.80441,39.11447,0.03700,-40.61286
13025.00000,44.25838,42.91445,0.03720,-40.28750
13035.00000,38.89458,48.46716,0.03510,-40.22000
13045.00000,28.73073,43.48751,0.03320,-39.30667
13055.00000,42.34353,50.84470,0.03240,-40.07714
13065.00000,37.26043,71.84846,0.03410,-41.32571
13075.00000,29.27689,44.15273,0.03870,-38.71857
13085.00000,36.18645,52.61967,0.02960,-41.60167
13095.00000,53.23873,66.18183,0.03540,-41.89143
13105.00000,35.06364,61.79269,0.03110,-41.27286
13115.00000,27.45194,59.09231,0.03100,-40.14833
13125.00000,32.60536,49.21641,0.03580,-39.72857
13135.00000,38.22495,53.85529,0.03780,-41.16375
13145.00000,31.98160,57.92784,0.03370,-39.59833
13155.00000,39.60358,69.86846,0.03440,-39.51286
13165.00000,35.78629,68.03525,0.03570,-40.70429
13175.00000,39.52880,60.41915,0.03570,-40.19714
13185.00000,45.14104,62.79347,0.03710,-40.83125
13195.00000,27.84260,51.73738,0.02750,-39.58800
13205.00000,26.63791,36.36699,0.03560,-39.07000
13215.00000,29.68202,40.16861,0.03700,-38.59429
13225.00000,31.83557,37.19319,0.04320,-39.97556
13235.00000,30.54767,38.41287,0.04430,-38.84500
13245.00000,29.27365,28.04002,0.03990,-39.20750
13255.00000,29.37347,41.78044,0.03900,-38.30250
13265.00000,34.28201,36.96018,0.04490,-39.68778
13275.00000,28.79403,42.25729,0.04110,-39.28000
13285.00000,18.59979,31.95469,0.04710,-39.26600
13295.00000,32.20139,33.65393,0.04070,-39.74000
13305.00000,27.59703,44.77415,0.04240,-38.53750
13315.00000,20.49692,25.93776,0.03880,-39.05875
13325.00000,23.26685,33.05266,0.04390,-38.15889
13335.00000,20.34062,27.60435,0.04490,-37.98222
13345.00000,27.44227,39.69859,0.04680,-38.69111
13355.00000,30.57875,39.57843,0.04360,-38.33667
13365.00000,23.96731,37.59400,0.03990,-39.11125
13375.00000,23.41623,27.68355,0.05050,-38.25000
13385.00000,25.63906,32.80746,0.04640,-38.06778
13395.00000,25.30262,32.52527,0.03950,-38.21625
13405.00000,27.62015,36.17614,0.04120,-39.02444
13415.00000,26.92074,31.03353,0.04410,-39.23625
13425.00000,27.14487,33.83967,0.04680,-38.34500
13435.00000,28.87746,32.64594,0.04660,-38.65333
13445.00000,29.55341,52.23984,0.04010,-37.88375
13455.00000,20.22110,31.95724,0.04340,-37.86778
13465.00000,25.33200,29.26345,0.05080,-37.51900
13475.00000,27.83195,38.18599,0.04660,-38.81778
13485.00000,29.43147,27.98407,0.04360,-37.48111
13495.00000,25.61841,30.25817,0.04820,-38.65300
13505.00000,27.86381,31.37342,0.05040,-37.97800
13515.00000,31.31244,35.01885,0.03810,-39.90571
13525.00000,29.77591,47.98825,0.04150,-38.22111
13535.00000,28.92193,37.25303,0.04050,-39.77250
13545.00000,26.42936,39.97261,0.03940,-38.86125
13555.00000,41.71140,67.91319,0.03720,-40.66429
13565.00000,37.38545,75.18321,0.03700,-38.89571
13575.00000,35.47851,65.20128,0.03660,-39.53750
13585.00000,38.78813,61.68473,0.03960,-40.40125
13595.00000,37.02892,54.62717,0.03910,-39.07714
13605.00000,40.36297,42.94221,0.04360,-39.42444
13615.00000,34.93026,52.69019,0.04110,-39.91875
13625.00000,27.88977,37.30466,0.03900,-38.15375
13635.00000,24.32095,33.99050,0.04770,-38.99300
13645.00000,25.34365,37.22114,0.04780,-38.32333
13655.00000,27.21298,29.85831,0.04820,-39.59900
13665.00000,32.89410,33.91730,0.03970,-37.87000
13675.00000,31.20097,34.58562,0.04360,-38.80333
13685.00000,30.79356,30.85772,0.04650,-36.63111
13695.00000,27.04470,30.25380,0.04220,-38.05750
13705.00000,32.77814,27.72382,0.04640,-38.78700
13715.00000,33.95064,28.96062,0.04600,-38.69111
13725.00000,31.97173,32.25721,0.04590,-40.18333
13735.00000,25.67872,27.66289,0.04590,-38.46333
13745.00000,27.74466,39.80848,0.04740,-39.08800
13755.00000,34.96762,32.29942,0.04970,-38.50000
13765.00000,26.05263,36.88780,0.04810,-37.06778
13775.00000,32.05336,41.85556,0.04160,-38.53111
13785.00000,32.80478,34.25818,0.04510,-39.55667
13795.00000,26.12375,31.36042,0.05070,-38.32400
13805.00000,28.85723,33.63081,0.04490,-37.51000
13815.00000,17.32490,36.31475,0.04660,-38.46444
13825.00000,26.75487,28.27779,0.05370,-37.95000
13835.00000,30.77560,31.35101,0.04060,-38.65875
13845.00000,19.11279,34.87198,0.04890,-38.00300
13855.00000,17.02782,32.77852,0.05120,-37.88500
13865.00000,37.68680,32.03422,0.04070,-38.67125
13875.00000,28.17617,32.07829,0.04840,-39.18700
13885.00000,24.64384,23.73808,0.04860,-37.93333
13895.00000,28.61125,34.28548,0.04310,-37.06778
13905.00000,39.48184,39.31933,0.03760,-39.11250
13915.00000,40.25381,41.87729,0.03780,-40.35286
13925.00000,53.93893,60.91225,0.03810,-39.99625
13935.00000,45.28062,53.75370,0.03500,-38.74429
13945.00000,40.21978,61.28116,0.03980,-39.03250
13955.00000,48.25844,63.14401,0.04000,-39.05125
13965.00000,63.52026,95.25239,0.03090,-40.79167
13975.00000,51.59202,94.98408,0.02920,-39.11500
13985.00000,58.63205,104.65817,0.03280,-41.33667
13995.00000,47.58235,87.46349,0.03490,-40.02000
14005.00000,51.17421,87.02471,0.03450,-39.77857
14015.00000,56.10842,58.15435,0.03340,-41.33286
14025.00000,37.63914,30.51272,0.04160,-40.53750
14035.00000,37.78905,33.03045,0.04610,-37.52111
14045.00000,45.53625,36.80531,0.04070,-38.65333
14055.00000,51.97346,36.85011,0.04600,-38.66778
14065.00000,47.82555,27.37352,0.04080,-37.97125
14075.00000,69.44951,25.63118,0.04100,-37.86625
14085.00000,75.99060,33.07578,0.04090,-38.06750
14095.00000,59.56706,25.00265,0.04920,-38.11600
14105.00000,59.62894,30.31838,0.04580,-39.33778
14115.00000,80.24149,29.92943,0.03810,-37.79000
14125.00000,46.86416,43.86391,0.03800,-38.22571
14135.00000,21.19851,26.92232,0.04300,-37.21111
14145.00000,27.23437,33.40037,0.04610,-37.99333
14155.00000,28.49031,35.41376,0.05180,-37.09909
14165.00000,28.84638,26.33714,0.04710,-37.77444
14175.00000,24.95148,22.93970,0.05130,-38.21200
14185.00000,28.82762,30.61462,0.04700,-38.60800
14195.00000,23.59046,26.55853,0.05560,-37.36364
14205.00000,36.29220,28.03072,0.04410,-38.26889
14215.00000,28.04743,28.73020,0.04640,-36.65000
14225.00000,43.38067,49.76647,0.04400,-37.85778
14235.00000,24.77550,23.72059,0.05420,-36.31182
14245.00000,28.43144,32.32840,0.05540,-38.06000
14255.00000,32.46126,24.66511,0.05420,-37.35818
14265.00000,33.82440,23.01851,0.05180,-36.55800
14275.00000,31.02826,33.90803,0.04910,-37.29300
14285.00000,29.12546,28.11587,0.05310,-37.76800
